EAN-13;Descricao;Cod.Prod;Validade;Porcao;Kcal;Carboidratos;Proteinas;GordurasTotais;GordurasSaturadas;GordurasTrans;Colesterol;Fibra;Calcio;Ferro;Sodio
3000030665764;CHOCOTONE M&M PASCOA 500G;306657-6;30;80;306;42;5;12;5,6;0;0;1;0;0;119
3000030666143;CHOCOTONE PASCOA 500G;306661-4;30;80;321;43;5,5;13;6;0;0;1,3;0;0;128
52003;CHOCOTTONE BISTEK GOTAS KG;52003-9;999;50;178;30;4,1;5;0,5;0;0;0,7;0;0;119
3000030534077;CHUCHU BABY 500G BD;305340-7;999;50;10;2,3;0,5;0,1;0,1;0;0;0;0;0;1,5
15652;CHUCHU BABY KG;15652-3;999;100;17;4,1;0,7;0,1;0;0;0;1,3;12;0,2;0
7685;CHUCHU C/ CENOURA ROT.KG;7685-6;2;100;117;18;27;12;0;0;50;0,5;0;0;843
7029;CHUCHU FEIRINHA kg;7029-7;10;100;19;4,5;0;0;0;0;0;1,7;17;0;2
3000030578873;CHUCHU FRESH&GOURMET 300g POTE;305788-7;6;100;17;4,1;0,7;0,1;0;0;0;1,3;0;0;0
3000030619903;CHUCHU FRESH&GOURMET 400g VACU;306199-0;6;0;17;4,1;0,7;0,1;0;0;0;1,3;0;0;0
1420;CHUCHU kg;1420-6;7;100;19;4,5;0;0;0;0;0;1,7;17;0;2
123775;CHULETA 2;123775-6;999;100;132;23;230;34;11;0;0;0;0;0;750
6031;CHULETA KG;6031-3;999;100;219;0;21;14;6;0;0;0;0;0;65
3354;CHULETA NORMAL FINA VACUO;3354-5;999;100;132;23;230;34;11;0;0;0;0;0;750
3353;CHULETA NORMAL MEDIA VACUO;3353-7;999;100;132;23;230;34;11;0;0;0;0;0;750
3355;CHULETA SALGADA;3355-3;999;100;219;0;21;14;6;0;0;0;0;0;65
10648;CHURROS GOURMET JD KG;10648-8;4;100;249;48;4,3;3,6;1,2;0;0;1;0;0;208
11952;CIABATTA  kg;11952-0;3;50;99;20;3,3;0,5;0,1;0;0;0,8;0;0;236
13330;CIABATTA C/AZEITONA PURAPAN kg;13330-2;3;50;100;18;3;1,8;0,4;0;0;1;0;0;270
7739;CIABATTA C/QUINOA BISTEK KG;7739-9;999;19;77;10;1,8;3,3;0,7;0;0;1,4;0;0;238
7736;CIABATTA C/VINHO BISTEK KG;7736-4;4;50;125;27;3,6;1,8;0;0;0;3,6;0;0;211
7918;CIABATTA C/VINHO CONGELADO BIS;7918-9;60;50;125;27;4;2;0;0;0;4;0;0;211
5092;CIDRA CRISTALIZADA KG;5092-0;999;30;93;24;0;0;0;0;0;0;0;0;0
50935;COBERTURA MARSHMALOW BISTEK KG;50935-3;999;20;67;13;1,1;1,1;0,4;0;0;0;0;0;11
6277;COCADA BRANCA BOMDOCE KG;6277-4;999;20;81;13;1,6;2,9;2,2;0,3;0;0;0;0;22
11292;COCADA BRANCA MINNAS ORIGENS k;11292-5;10;30;430;50;1;26;16;0;0;4;0;0;0
