EAN-13,Descricao,Cod.Prod
7897517913366,UNHAS POSTICAS RICCA NATURAIS QUAD.CURTO,223186-7
7897517913205,UNHAS POSTICAS RICCA NATURAIS QUAD.MEDIO,223191-3
7897517913403,UNHAS POSTICAS RICCA VERM QUAD.CURTO,223193-0
7898409951848,ACHOCOLATADO OVOMALTINE 190g FLOCOS CROC,152929-3
7898409951404,ACHOCOLATADO OVOMALTINE 300g FLOCOS CROC,145936-8
7891000265505,ACHOCOLATADO PO NESCAU 1,02kg SACHE,207500-8
7891000377727,ACHOCOLATADO PO NESCAU 180g 60% CACAU,216285-7
7891000426210,ACHOCOLATADO PO NESCAU 350g GTS20g LT,232050-9
7891000412855,ACHOCOLATADO PO NESCAU 350g LT,230123-7
7891000390030,ACHOCOLATADO PO NESCAU 350g LT MEN.ACUC,222820-3
7891000379691,ACHOCOLATADO PO NESCAU 370g LT,221660-4
7891000426067,ACHOCOLATADO PO NESCAU 550g GTS50g SC,232992-1
7891000338087,ACHOCOLATADO PO NESCAU 550g SACHE,206716-1
7891000379738,ACHOCOLATADO PO NESCAU 670g LT,220232-8
7891000403129,ACHOCOLATADO PO NESCAU 900g SACHE,229728-0
7892840819507,ACHOCOLATADO PO TODDY 370g ORIGINAL,210135-1
7894321711058,ACHOCOLATADO PO TODDY 380g LIGHT LT,106877-6
7894321220529,ACHOCOLATADO PO TODDY 700g ORIGINAL,158601-7
7892840819170,ACHOCOLATADO PO TODDY 750g ORIGINAL,207629-2
7896045115365,ACHOCOLATADO PO 3 CORACOES 350g CHOC.,234045-3
7896045110582,ACHOCOLATADO PO 3 CORACOES 370g CHOCOL,220597-1
7896224836098,ACHOCOLATADO PO 3 CORACOES 700g CHOCOL,181679-9
7898635644699,CACAU EM PO BR SPICES 30g VD,231176-3
7896552906258,CACAU EM PO QUALICAU 200g 100% CACAU,232140-8
7896327515012,CACAU PO APTI 100g 100%,216304-7
7891048000427,CACAU PO DR.OETKER 150g 100%,190375-6
7891000120095,CACAU PO NESTLE 200g 100%,176503-5
7896552907446,CHOCOLATE EM PO QUALICAU 200g 32% CACAU,232047-9
7896552906234,CHOCOLATE EM PO QUALICAU 200g 50% CACAU,217300-0
7896060530303,CHOCOLATE PO CHOCOLEITE 1kg 50% CACAU,145136-7
7891048000106,CHOCOLATE PO DR.OETKER 200g 70% CACAU,172934-9
7891008040029,CHOCOLATE PO GAROTO 200g 50% CACAU,106525-4
7891000451304,CHOCOLATE PO NESTLE 200g 50% CACAU,106524-6
7891000347942,PREPARADO PO NESQUIK 200g MORANGO,207502-4
7891000104101,PREPARADO PO NESQUIK 380g MORANGO,162900-0
7896327502258,ACUCAR CONFEITEIRO APTI 500g,232057-6
7896894900273,ACUCAR CRISTAL CARAVELAS 1Kg PREMIUM,198927-8
